case_id,mode,final_decision_support,ground_truth_overlap,avg_step_expected_update_overlap
case_CVE-2023-38896,iterative,accept,0.35,0.1609
case_CVE-2023-38896,iterative,accept,0.35,0.1609
case_CVE-2023-27494,iterative,accept,0.68,0.147
case_CVE-2023-27494,iterative,accept,0.68,0.147
case_CVE-2023-0626,iterative,accept,0.3947,0.2021
case_CVE-2023-0626,iterative,accept,0.3947,0.2021
case_CVE-2024-22190,iterative,accept,1.0,0.1593
case_CVE-2024-22190,iterative,accept,1.0,0.1593
case_CVE-2022-21797,iterative,reject,0.5185,0.0494
case_CVE-2022-21797,iterative,reject,0.5185,0.0494
case_CVE-2023-26303,iterative,accept,0.3208,
