case_id,mode,final_decision_support,ground_truth_overlap,avg_step_expected_update_overlap
case_CVE-2023-38896,iterative,modify,0.525,0.289
case_CVE-2023-38896,iterative,modify,0.525,0.289
case_CVE-2023-27494,iterative,modify,0.68,0.2581
case_CVE-2023-27494,iterative,modify,0.68,0.2581
case_CVE-2023-0626,iterative,modify,0.3947,0.2217
case_CVE-2023-0626,iterative,modify,0.3947,0.2217
case_CVE-2024-22190,iterative,accept,0.5862,0.163
case_CVE-2024-22190,iterative,accept,0.5862,0.163
case_CVE-2022-21797,iterative,modify,0.4815,0.1468
case_CVE-2022-21797,iterative,modify,0.4815,0.1468
case_CVE-2023-26303,iterative,modify,0.3208,
