case_id,mode,final_decision_support,ground_truth_overlap,avg_step_expected_update_overlap
case_CVE-2023-38896,iterative,accept,0.6,0.1609
case_CVE-2023-38896,iterative,accept,0.6,0.1609
case_CVE-2023-27494,iterative,accept,1.0,0.1248
case_CVE-2023-27494,iterative,accept,1.0,0.1248
case_CVE-2023-0626,iterative,accept,0.8158,0.1629
case_CVE-2023-0626,iterative,accept,0.8158,0.1629
case_CVE-2024-22190,iterative,accept,1.0,0.1815
case_CVE-2024-22190,iterative,accept,1.0,0.1815
case_CVE-2022-21797,iterative,modify,0.7037,0.0717
case_CVE-2022-21797,iterative,modify,0.7037,0.0717
case_CVE-2023-26303,iterative,accept,0.4717,
